day_of_year,lo,hi,mid
263,10883671.8092,16403349.9029,13097208.7333
264,10855175.0534,16384925.8057,13070040.2667
265,10820646.6977,16359335.3086,13047081.4
266,10793771.2752,16340005.4114,13033956.0
267,10769638.8528,16320056.1143,13007891.2
268,10744825.6303,16295888.0571,12985599.4
269,10713852.5078,16270661.0,12958861.4
270,10692490.3399,16249537.7333,12936927.2
271,10680332.7387,16223844.4667,12915216.7333
272,10671753.6708,16196006.0,12895434.4667
273,10662969.3695,16170880.2,12869695.6
274,10652786.2016,16150589.8,12844370.2
275,10648449.2671,16129482.4,12821763.8
276,10629616.0658,16103201.2,12799455.4
277,10623064.8646,16079868.2,12775509.4
278,10620753.9633,16058497.8,12755063.6
279,10608720.8221,16030680.2667,12729901.8
280,10599446.8809,16004999.1333,12710486.6
281,10594508.7396,15979040.4,12684502.6
282,10596827.5984,15959976.4,12658933.4
283,10590921.2571,15930880.6,12632362.0
284,10579855.1559,15909586.8,12605808.6
285,10570518.4546,15890785.3333,12581400.0
286,10562838.3534,15871759.2667,12560558.8
287,10551351.7188,15850638.2,12537602.0
288,10539553.0843,15830067.1333,12514760.0
289,10535352.6497,15816076.6667,12490128.4
290,10522525.3484,15794912.6,12464046.0
291,10510708.4186,15775008.0,12438890.6
292,10499049.8888,15753888.6,12410710.6
293,10486398.559,15731995.6,12395573.0
294,10478393.9625,15711479.2,12371046.8
295,10466153.966,15693402.2,12354121.9513
296,10459082.1696,15679085.6,12343153.0684
297,10442713.2397,15657899.4667,12344619.9026
298,10425088.4718,15642240.5905,12343133.5368
299,10411471.5039,15631597.3143,12332937.9709
300,10396544.736,15616645.3714,12342131.4051
301,10383179.5014,15604714.6286,12343081.506
302,10373304.2669,15592109.0857,12344830.6068
303,10363232.6323,15594847.1429,12341525.9077
304,10360147.731,15583831.6,12335904.5419
305,10341947.2298,15575382.8571,12342574.1761
306,10339081.9286,15562930.3143,12335811.8103
307,10334192.2273,15557188.4381,12337517.6444
308,10325517.1261,15551403.3619,12339839.0
309,10336250.6248,15548602.6857,12339374.6
310,10354692.7236,15549332.6095,12324508.3
311,10353762.0224,15543536.7333,12314561.8539
312,10355841.5211,15552337.2762,12333174.5164
313,10361901.4199,15558947.419,12356975.1789
314,10397839.1186,15554702.1619,12365388.6413
315,10412010.4174,15551030.9048,12371845.9038
316,10417671.5161,15543350.6476,12370288.7663
317,10445864.6149,15550363.7905,12363635.0287
318,10443221.5137,15548473.4,12361768.6912
319,10448907.4124,15553717.8667,12361672.4305
320,10459295.9112,15555438.7333,12364211.6242
321,10465432.2099,15555874.6,12369359.2846
322,10476462.5087,15553574.2667,12367087.2359
323,10480523.8075,15556360.5333,12360068.7872
324,10490681.5062,15566236.8,12358901.0135
325,10482189.005,15560312.4,12360892.9064
326,10484761.5037,15549222.4,12359520.9994
327,10489443.2025,15548465.6667,12356598.6923
328,10498391.5012,15543276.1333,12379963.3186
329,10502632.8,15555603.0,12405378.3966
330,10510400.0,15604044.2667,12415387.5808
331,10525286.92,15649134.5333,12420811.465
332,10530477.24,15666522.2,12442701.8991
333,10529160.96,15688148.3733,12462630.3333
334,10534144.28,15716151.9467,12474564.3675
335,10545426.6,15723667.92,12522073.2017
336,10554194.5333,15727001.56,12570876.6359
337,10579542.2667,15740678.0,12573458.0701
338,10641345.1556,15758577.0,12577412.5043
339,10668185.3111,15767031.0,12583956.1099
340,10685122.4667,15790464.32,12593106.5155
341,10698401.1556,15847508.04,12598070.1611
342,10697802.8444,15888738.56,12616178.2067
343,10718623.7867,15912112.5467,12692257.6524
344,10735384.9289,15931415.4,12731456.098
345,10746188.8711,15953076.6533,12756897.1436
346,10749483.08,15964070.24,12772961.1778
347,10766899.9714,15982995.76,12805971.412
